origin,destination,flight_no,airline,operating_flight_no,operating_airline,scheduled_time,status,date,cargo
DEN,PRC,UA 5076,UAL,OO 5076,SKW,2025-11-24 08:20:00,Diverted,2025-11-24,False
PRC,LAX,UA 5076,UAL,OO 5076,SKW,2025-11-24 12:23:00,Arr 1257,2025-11-24,False
DEN,RIW,UA 5077,UAL,OO 5077,SKW,2025-11-24 12:18:00,Arr 1315,2025-11-24,False
GCC,DEN,UA 5078,UAL,OO 5078,SKW,2025-11-24 05:15:00,Arr 0649,2025-11-24,False
DEN,SHR,UA 5079,UAL,OO 5079,SKW,2025-11-24 12:10:00,Arr 1318,2025-11-24,False
DEN,JMS,UA 5080,UAL,OO 5080,SKW,2025-11-24 07:50:00,Arr 1024,2025-11-24,False
DEN,JMS,UA 5081,UAL,OO 5081,SKW,2025-11-24 14:10:00,Arr 1656,2025-11-24,False
CMX,ORD,UA 5082,UAL,OO 5082,SKW,2025-11-24 15:14:00,Arr 1602,2025-11-24,False
DEN,CYS,UA 5083,UAL,OO 5083,SKW,2025-11-24 21:04:00,Arr 2144,2025-11-24,False
DEN,PIR,UA 5084,UAL,OO 5084,SKW,2025-11-24 13:41:00,Arr 1607,2025-11-24,False
LAR,DEN,UA 5084,UAL,OO 5084,SKW,2025-11-24 10:30:00,Arr 1406 (+148min),2025-11-24,False
DEN,GCC,UA 5085,UAL,OO 5085,SKW,2025-11-24 20:35:00,Arr 2149,2025-11-24,False
DEN,RKS,UA 5086,UAL,OO 5086,SKW,2025-11-24 20:49:00,Arr 2154,2025-11-24,False
PIR,DEN,UA 5087,UAL,OO 5087,SKW,2025-11-24 17:00:00,Arr 1802 (+20min),2025-11-24,False
IAH,MEI,UA 5088,UAL,OO 5088,SKW,2025-11-24 11:45:00,Arr 1345 (+31min),2025-11-24,False
COD,DEN,UA 5089,UAL,OO 5089,SKW,2025-11-24 08:30:00,Arr 1031 (+14min),2025-11-24,False
DEN,SHR,UA 5090,UAL,OO 5090,SKW,2025-11-24 21:04:00,Arr 2218,2025-11-24,False
ORD,FOD,UA 5091,UAL,OO 5091,SKW,2025-11-24 12:30:00,Arr 1340,2025-11-24,False
IAH,VCT,UA 5092,UAL,OO 5092,SKW,2025-11-24 21:35:00,Arr 2259 (+32min),2025-11-24,False
RKS,DEN,UA 5093,UAL,OO 5093,SKW,2025-11-24 05:15:00,Arr 0644,2025-11-24,False
SLN,ORD,UA 5094,UAL,OO 5094,SKW,2025-11-24 09:00:00,Arr 1054,2025-11-24,False
SGU,DEN,UA 5095,UAL,OO 5095,SKW,2025-11-24 05:10:00,Arr 0700,2025-11-24,False
DIK,DEN,UA 5096,UAL,OO 5096,SKW,2025-11-24 08:20:00,Arr 1016,2025-11-24,False
DEN,DIK,UA 5097,UAL,OO 5097,SKW,2025-11-24 20:40:00,Arr 2202,2025-11-24,False
HYS,DEN,UA 5097,UAL,OO 5097,SKW,2025-11-24 19:09:00,Arr 1932,2025-11-24,False
DEN,DIK,UA 5098,UAL,OO 5098,SKW,2025-11-24 14:23:00,Arr 1557,2025-11-24,False
DIK,DEN,UA 5098,UAL,OO 5098,SKW,2025-11-24 17:36:00,Arr 1928,2025-11-24,False
COD,DEN,UA 5099,UAL,OO 5099,SKW,2025-11-24 13:28:00,Arr 1458,2025-11-24,False
DEN,PIR,UA 5099,UAL,OO 5099,SKW,2025-11-24 15:53:00,Arr 1807,2025-11-24,False
FOD,ORD,UA 5100,UAL,OO 5100,SKW,2025-11-24 14:36:00,Arr 1614 (+4min),2025-11-24,False
DEN,SGU,UA 5101,UAL,OO 5101,SKW,2025-11-24 21:05:00,Arr 2237,2025-11-24,False
DEN,DVL,UA 5102,UAL,OO 5102,SKW,2025-11-24 07:45:00,Arr 1034,2025-11-24,False
ORD,JLN,UA 5103,UAL,OO 5103,SKW,2025-11-24 21:38:00,Arr 2355 (+25min),2025-11-24,False
DEN,SUX,UA 5104,UAL,OO 5104,SKW,2025-11-24 15:35:00,Arr 1759,2025-11-24,False
MCW,ORD,UA 5105,UAL,OO 5105,SKW,2025-11-24 10:00:00,Arr 1125,2025-11-24,False
RKS,DEN,UA 5106,UAL,OO 5106,SKW,2025-11-24 13:56:00,Arr 1455,2025-11-24,False
DEN,SLN,UA 5107,UAL,OO 5107,SKW,2025-11-24 20:21:00,Arr 2237,2025-11-24,False
SUX,DEN,UA 5107,UAL,OO 5107,SKW,2025-11-24 18:46:00,Arr 1929,2025-11-24,False
EAU,ORD,UA 5108,UAL,OO 5108,SKW,2025-11-24 14:38:00,Arr 1605,2025-11-24,False
